"Position","Name","Age Group","Flag","time","Global ranking points","id"
"#86","STMANDBERG Johan",NA,NA,"0:52:21.7","N/A",1252
"#87","KRANTZ Magnus",NA,NA,"0:52:26.1","N/A",1252
"#88","BRANDOMARK Davis",NA,NA,"0:52:31.2","N/A",1252
"#89","CASABONA Luigi",NA,NA,"0:52:47.4","N/A",1252
"#90","LAUDATI Graziano",NA,NA,"0:52:54.9","N/A",1252
"#91","Domeij Per-Åke",NA,NA,"0:53:56.1","N/A",1252
"#92","GIULINO Nicola",NA,NA,"0:53:56.6","N/A",1252
"#93","TAMM Claes",NA,NA,"0:53:57.0","N/A",1252
"#94","KORKKA Tommi",NA,NA,"0:54:02.8","N/A",1252
"#95","CALVARUSO Marco",NA,NA,"0:54:14.6","N/A",1252
"#96","MODENA GABRIELE",NA,NA,"0:54:24.6","N/A",1252
"#97","SHAPOCHKIN DIMITRY",NA,NA,"0:54:33.9","N/A",1252
"#98","Heger Zbynek",NA,NA,"0:54:38.6","N/A",1252
"#99","JONSSON Daf",NA,NA,"0:54:48.0","N/A",1252
"#100","COSTANTINI LUIGI",NA,NA,"0:54:58.6","N/A",1252
"#1","DI SOPRA Francesca",NA,NA,"0:41:43.6","N/A",1252
"#2","LINTZÉN Nina",NA,NA,"0:44:45.6","N/A",1252
"#3","ZANON Stefania",NA,NA,"0:47:07.7","N/A",1252
"#4","Böhmová Eva",NA,NA,"0:47:20.2","N/A",1252
"#5","DI GALLO Martina",NA,NA,"0:48:45.0","N/A",1252
"#6","YRJÖLÄ Ulla",NA,NA,"0:52:27.7","N/A",1252
"#7","COLNAGHI Laura",NA,NA,"0:52:40.3","N/A",1252
"#8","CASALI Alice",NA,NA,"0:57:22.0","N/A",1252
"#9","Guryeva Vera",NA,NA,"0:59:14.3","N/A",1252
"#10","JUNKALA Hannele",NA,NA,"0:59:19.0","N/A",1252
"#11","HOLOPAINEN Hanna",NA,NA,"0:59:23.4","N/A",1252
"#12","SUURNAKKI – VUORINEN Kirsi",NA,NA,"1:00:20.3","N/A",1252
"#13","SAMUELSSON Annachristina",NA,NA,"1:01:30.9","N/A",1252
"#14","ENEVOLDSEN Cindy",NA,NA,"1:02:52.5","N/A",1252
"#15","BERGMAN Lisa",NA,NA,"1:02:54.3","N/A",1252
"#16","VANZO Veronica",NA,NA,"1:04:02.2","N/A",1252
"#17","ROATA Claudia",NA,NA,"1:04:56.8","N/A",1252
"#18","Grenier Daniele",NA,NA,"1:06:13.1","N/A",1252
"#19","SANDSTROM Johanna",NA,NA,"1:07:38.0","N/A",1252
"#20","Preibisch Sylvia",NA,NA,"1:08:37.3","N/A",1252
"#21","SANDSTROM Moa",NA,NA,"1:10:39.2","N/A",1252
"#22","DECEMBRINI Valeria",NA,NA,"1:14:18.4","N/A",1252
"#23","KOLOBANOVA LIUDMILA",NA,NA,"1:14:30.4","N/A",1252
"#24","SIPILA Liisa",NA,NA,"1:16:12.0","N/A",1252
"#25","FOSSATI Elena",NA,NA,"1:16:16.2","N/A",1252
"#26","Rosenfelder Silke",NA,NA,"1:19:30.5","N/A",1252
"#27","GOLIN Ostman",NA,NA,"1:19:47.8","N/A",1252
"#28","HANSSON Sabina",NA,NA,"1:20:02.4","N/A",1252
"#29","JONANSSON Maria",NA,NA,"1:21:47.4","N/A",1252
"#30","SAATTONEN Ansa",NA,NA,"1:22:37.9","N/A",1252
"#31","SIMOLA Marika",NA,NA,"1:26:01.6","N/A",1252
"#32","PLIT REHULG Sanna",NA,NA,"1:27:32.2","N/A",1252
"#33","Savoie Danielle",NA,NA,"2:00:08.1","N/A",1252
"#101","GAZZOLA Alessandro",NA,NA,"0:54:59.0","N/A",1252
"#102","HUUSKONEN Ilpo",NA,NA,"0:55:18.5","N/A",1252
"#103","CARRARO Emilio",NA,NA,"0:55:20.5","N/A",1252
"#104","HEINOLA Timo",NA,NA,"0:55:22.6","N/A",1252
"#105","DOHRMANN Christoph",NA,NA,"0:55:49.0","N/A",1252
"#106","HOLOPAINEN Timo",NA,NA,"0:56:19.0","N/A",1252
"#107","ELISSON Mattias",NA,NA,"0:56:27.7","N/A",1252
"#108","HUBER Hansjorg",NA,NA,"0:56:30.9","N/A",1252
"#109","Järvenpää Marko",NA,NA,"0:56:35.5","N/A",1252
"#110","DE PELLEGRIN Mario",NA,NA,"0:56:48.1","N/A",1252
"#111","KORPI Markus",NA,NA,"0:56:54.8","N/A",1252
"#112","CIVIERO SILVANO",NA,NA,"0:57:10.4","N/A",1252
"#113","COSTANTINI Francesco",NA,NA,"0:57:17.8","N/A",1252
"#114","SYLHA Kari",NA,NA,"0:57:20.4","N/A",1252
"#115","SAATTONEN Raimo",NA,NA,"0:57:24.0","N/A",1252
"#116","KULJU Mika",NA,NA,"0:58:06.8","N/A",1252
"#117","DOMEIJ Ake",NA,NA,"0:58:22.4","N/A",1252
"#118","KOSTYNICH Sergei",NA,NA,"0:58:37.3","N/A",1252
"#119","SUNDBERG Bomikael",NA,NA,"0:58:41.0","N/A",1252
"#120","Ignatov Sergey",NA,NA,"0:58:48.4","N/A",1252
"#121","MARIONIMI Mauro",NA,NA,"0:58:51.4","N/A",1252
"#122","VIGNOLI ANDREA",NA,NA,"0:58:58.8","N/A",1252
"#123","VIGNOLI SIMONE",NA,NA,"0:58:59.1","N/A",1252
"#124","POPOV Sergey",NA,NA,"0:59:02.1","N/A",1252
"#125","BERGMAN Sven Olof",NA,NA,"0:59:05.5","N/A",1252
"#126","FREDRIKSSON Born",NA,NA,"0:59:07.6","N/A",1252
"#127","JOLINEN Mikko",NA,NA,"0:59:17.5","N/A",1252
"#128","Tessadri Duccio",NA,NA,"0:59:39.9","N/A",1252
"#129","BUBOLA OSCAR",NA,NA,"0:59:41.6","N/A",1252
"#130","CHECUZ Giorgio",NA,NA,"0:59:54.2","N/A",1252
"#131","Siirola Sami",NA,NA,"0:59:56.0","N/A",1252
"#132","ERIKSSON Lennart",NA,NA,"1:00:16.1","N/A",1252
"#133","OHNSTROM Martin",NA,NA,"1:00:17.9","N/A",1252
"#134","FOLCO MAURO",NA,NA,"1:00:30.1","N/A",1252
"#135","Zulian Daniele",NA,NA,"1:00:56.1","N/A",1252
"#136","LONGO Matteo",NA,NA,"1:01:07.5","N/A",1252
"#137","CAVASSI Tommaso",NA,NA,"1:01:14.2","N/A",1252
"#138","TAHVANAINEN Timo",NA,NA,"1:01:14.9","N/A",1252
"#139","ROSEN Lars",NA,NA,"1:01:17.0","N/A",1252
"#140","BRUHN Tobias",NA,NA,"1:01:25.6","N/A",1252
"#141","RYTTERSSON Tony",NA,NA,"1:01:30.4","N/A",1252
"#142","ESPOSITO Maurizio",NA,NA,"1:01:38.9","N/A",1252
"#143","LAUDATI Walter",NA,NA,"1:01:42.9","N/A",1252
"#144","NICOLODI Claudio",NA,NA,"1:02:02.4","N/A",1252
"#145","GELMINI Enzo",NA,NA,"1:02:28.3","N/A",1252
"#146","Moresco Aldo",NA,NA,"1:02:38.8","N/A",1252
"#147","BONINSEGNA Stefano",NA,NA,"1:02:39.9","N/A",1252
"#148","SIMION Dimitri",NA,NA,"1:02:40.2","N/A",1252
"#149","LONG Stefano",NA,NA,"1:02:50.6","N/A",1252
"#150","OLSSON Bertil",NA,NA,"1:02:59.4","N/A",1252
"#151","PODETTI Aldo",NA,NA,"1:03:03.9","N/A",1252
"#152","COZZIO Giuliano",NA,NA,"1:03:26.7","N/A",1252
"#153","KIVELA Kari",NA,NA,"1:03:26.7","N/A",1252
"#154","Haaranen Jouko",NA,NA,"1:03:27.1","N/A",1252
"#155","BAZZANELLA Antonio",NA,NA,"1:03:34.0","N/A",1252
"#156","VATANEN Matti",NA,NA,"1:03:38.7","N/A",1252
"#157","WALLBERG Jan",NA,NA,"1:03:41.1","N/A",1252
"#158","MENEGO Gianmagno",NA,NA,"1:04:19.0","N/A",1252
"#159","FIORE Luciano",NA,NA,"1:04:28.1","N/A",1252
"#160","SIPILA Eero",NA,NA,"1:04:48.6","N/A",1252
"#161","DI GIURA Andrea",NA,NA,"1:04:58.4","N/A",1252
"#162","SJOLANDER Dan",NA,NA,"1:05:26.8","N/A",1252
"#163","MILANESE Franco",NA,NA,"1:05:51.6","N/A",1252
"#164","Palliser Robert",NA,NA,"1:06:08.4","N/A",1252
"#165","BJORN Urban",NA,NA,"1:06:16.0","N/A",1252
"#166","KIHLBERG Gunnar",NA,NA,"1:06:17.6","N/A",1252
"#167","ANTONELLI Alessio",NA,NA,"1:06:40.1","N/A",1252
"#168","BERTORELLE Michele",NA,NA,"1:06:50.4","N/A",1252
"#169","AKERBERG Thomas",NA,NA,"1:06:50.8","N/A",1252
"#170","TACCHINI Marco",NA,NA,"1:06:54.5","N/A",1252
"#171","FACCHINI Mario",NA,NA,"1:06:55.5","N/A",1252
"#172","Tuominen Touko",NA,NA,"1:06:56.0","N/A",1252
"#173","SCALIA Carlo",NA,NA,"1:06:56.3","N/A",1252
"#174","BENVEGNU Franco",NA,NA,"1:07:29.0","N/A",1252
